,text
27,"The goals of the chant-talk approach are to use voice quality and pitch techniques to decrease the effort used while talking. The technique is first demonstrated through the use of recordings, with the patient subsequently asked to imitate the specified voicing patterns. Once the chant has been mastered, the patient is asked to read aloud in chant and in normal register in 20 second alternation. Patients are asked to reduce chanting to a minimal, while maintaining vowel prolongations and softened glottal word onsets. Sessions are recorded in order to provide auditory feedback."
28,"Resonant voice is a technique often taught to actors and singers to improve voice production. Resonant voice therapy teaches clients to use resonant voice in order to reduce vocal fold trauma. Resonant voice is produced with minimally adducted (closed) vocal folds. This technique reduces the force of the vocal folds vibrating against each other, which reduces trauma and allows healing. A variety of different programs, including Lessac-Masden Resonant Voice Therapy (LMRVT), Humming, and Y-Buzz, have been studied and used to help teach resonant voice."
29,"Each program uses slightly different strategies to teach resonant voice. However, they all have similar hierarchical structures and share the goal of producing a strong, clear voice with minimal effort. In the aforementioned programs, the client begins by trying to produce resonance during nasal consonants and vowels, then progresses to using this technique in words, sentences, and conversations. During voice therapy, clinicians often help patients conceptualize resonant voice by discussing where the patient ""feels"" their voice. Patients with dysphonia often describe their voices as vibrating in the throat. Resonant voice is described as vibrating higher and further forward, and being felt at the alveolar ridge and in the maxillary bones."
30,Range Expansion and Stabilization Techniques (REST) and Exercises
31,"Range Expansion and Stabilization Techniques (REST) and exercises target symptoms such as reduced pitch range, reduced loudness, and voice instability which are often related to a variety of different voice disorders. There are three main exercises that work to target these symptoms. The first is called a ""stretching"" exercise and targets pitch range. The client is asked to find their comfortable pitch, and then slowly go up 1/3 of an octave using a gliding technique, and then gently go back to their comfortable pitch on one inhale. This procedure is followed by an exhale and rest for 1–2 seconds, then should be repeated 2-3 times. As the client improves, octave levels can be increased. The second is called a ""resistance"" exercise and focuses on loudness. The client is asked to use their comfortable pitch and go from a soft to loud voice for 3–4 seconds, followed by an exhale. It is important to train the client to do this without straining their voice. The third is called an ""endurance"" exercise, the client is instructed to hold a note as long as they can by controlling their exhale (this should be done with 3-4 comfortable pitches)."
32,Dialect training for actors who need to speak with a particular dialect or accent
33,"While many transgender women wish to sing like cisgender women, it will require a lot of training for one to achieve a feminine-sounding voice. This is why most who haven't gone through male puberty begin hormone replacement therapy have a higher chance of retaining this quality. See castrato for more information."
34,Debate
35,Public speaking
36,"Voice therapy is sometimes undertaken by trans women and trans men to make their voices better match their gender. Voice feminization is the desired outcome of surgical techniques, speech therapy, self-help programs and a general litany of other techniques to acquire a female-sounding voice from a perceived male-sounding voice. Voice masculinization is the use of the same procedures and techniques to acquire a male-sounding voice."
37,"Some laryngectomized patients may succeed in achieving communication through the use of esophageal speech, in which air is swallowed, then gradually released while producing speech."
38,"Others may make use of an electrolarynx (external vibrating device), which produces vibrations in the patient's oral cavity that they can no longer produce themselves without air passing through their vocal folds."
39,"The current medical standard after a laryngectomy is a tracheoesophageal puncture, which includes the insertion of a voice prosthesis."
40,"A voice prosthesis is an artificial device, usually made of silicone, that is used to help laryngectomized patients speak. A tube is inserted into the neck, below the vocal folds, allowing air to go through the tube instead of through the mouth and nose. Following a total laryngectomy, air will no longer pass through the vocal folds, significantly altering the person's ability to communicate orally. In some instances, the person may be able to block the tube with their fingers and breathe as they did before the surgery or attach a valve to their tube, which serves to allow air to enter while preventing food from passing into the windpipe. In others, this is not a viable option due to resistance, infection, and insufficient air. Voice therapy may then be turned to as a means for a person to regain the ability to communicate orally. Voice prostheses and ventilators may affect the volume of the speaker and the overall quality of the speaker's voice. With the help of voice therapy as well as possible adjustments to ventilator settings, the goal is to become accustomed to using the device functionally and to learn the techniques and skills needed to participate in daily communication."
41,"If the person is using a ventilator with their tube, there are long pauses between cycles of the ventilator. During these moments of silence, someone else may begin to speak, thus taking away the turn of the person with a ventilator. The person who has undergone a laryngectomy can use tools and techniques, such as those provided by a Speech-Language Pathologist (SLP) to self-advocate during conversations, in order to ensure that they are given the space that they need to participate in conversation. An SLP can also provide information to the person and to the people who interact with them frequently on communication strategies that would benefit them."
42,"In children, the voice disorders and dysphonia are quite common, although the reported prevalence varies significantly depending on the type of data collection and the location from which it was drawn. Some estimates suggest a rate between 6 and 38% of school-aged children, others indicate between 2 and 23%. Dysphonia is more common in male children than females during school-age. Conversely, as of 13 years and through to adulthood the disorder is more commonly seen in females. Other voice disorders such as vocal nodules, are also common in children, particularly before the onset of puberty with an incidence of 17-30%. The most common vocal pathologies occurring in children are nodules (55-68% of cases) and damage caused by congenital lesions (27-41% of cases). Other common pathologies in children include vocal fold cysts and polyps. The presence of dysphonia in children can impact psychological well-being and social functioning both in academic and family life and can significantly influence a  child's ability to perform daily functions. Moreover, pediatric voice disorders may progress into adulthood and consequently negatively affect personal and professional ambitions.  As a result of these consequences, the United States have implemented a federal mandate through the Individuals with Disabilities Act which states that children with voice disorders that impact their academic performance are entitled to in-school services. Despite this, the criteria for school based services is up to interpretation, and children with voice disorders have inconsistent access to treatment."
43,Epidemiology
44,There are various different types of dysphonia with distinct epidemiologies.
45,Acute dysphonia usually triggered by an infectious onset.
46,"Juvenile Recurrent Respiratory Papillomatosis (RRP), subglottic stenosis"
47,Endocrine pathology induced VT
48,Laryngeal conditions that lead to chronic childhood voice disorders.
49,"vocal fold nodules/ cysts, velopharyngeal insufficiency (VPI), anterior glottic webs, vocal fold paralysis "
50,Functional voice disorders (i.e. no neurologic/ anatomical etiology) 
51,"muscle tension dysphonia, puberphonia/mutational falsetto "
52,"Pediatric voice therapy involves the collaborative work of often multidisciplinary healthcare practitioners forming the voice-care teams. In pediatric cases, the Speech Language Pathologist (S-LP) is usually the primary treatment provider. His or her work may be facilitated by other team members depending on the issues involved. These include a pediatric otolaryngologist, pulmonologist/allergist and nurses. Additionally, other members of the voice-care team can include general practitioners, surgeons, social workers, occupational therapists, dieticians, gastroenterologists and pharmacists. Voice services can be provided in a number of settings, including hospitals, clinics, schools and personal homes."
53,"Interview: The first step of assessment in childhood dysphonia is the interview. In the interview, the clinician must learn who first noticed the dysphonia, the age of onset (early years/months suggests congenital pathology, school age (3–4 years) suggests acquired pathology), as well as the evolution of the disorder. Variation in the presentation of the disorder can be very helpful in guiding the voice therapy. For example, if the voice improved on weekends, this could suggest an underlying problem with vocal behaviour. Similarly, if the voice pathology remained stable or varied significantly regardless of context, it is likely unrelated to vocal effort and suggestive of a congenital malformation of the vocal structure. The interview process also includes the collection of a thorough history which informs the clinician of potential risk factors affecting the child (i.e. prematurity, NICU stay, family history, ENT surgeries, hearing impairment etc.). In these instances the clinician should screen for swallowing, pneumologic and digestive impairments which could be contributing to the dysphonia. Other important factors to take note of during the interview include the child's personality (i.e. introverted/extroverted, carefree/anxious), how they communicate as well as what their home and school environment is like. All of these factors may contribute to the voice disorder itself, as well as to its impact on the child's social functioning."
54,"Voice Function Assessment: A clinical assessment of voice function includes a laryngeal exam, perceptual examination of vocal characteristics, the collection of voice samples (reading, singing, loud voice, prolonged vowels etc.) and the examination of vocal behaviours (posture, balance, face and neck muscle activity, respiratory gestures. It also includes objective instrumental measures of maximum phonation time (MPT), jitter, s/z ratios and other relevant acoustic features (intensity, tone, volume pitch). Qualitative instruments which are used to examine vocal quality include the dysphonia Grade, Roughness, Breathiness, Asthenia and Strain (GRBAS) scale as well as the Consensus Auditory Perceptual Evaluation-Voice (CAPE-V) scale."
55,"Quality of Life: Additionally, qualitative measures are sometimes used to evaluate the extent to which vocal disorders impact children's social interactions, activities and education. These include the Pediatric Voice Handicap Index (pVHI), the Pediatric Voice Outcome Survey (PVOS) and the Pediatric Voice-Related Quality-of-Life (PVRQOL) instruments."
56,Physical Examination: the physical examination is performed using rigid or flexible endoscopy in order to examine the physiology of the vocal structures.
57,"Diagnosis of a voice disorder must be followed by a physician referral in order for a child to have access to therapy services. Treatment of voice disorders in children can involve a combination of behavioral, pharmacological and surgical methods. Behavioural methods are most commonly used to address dysphonia in children, particularly in the case of vocal nodules."
58,"Behavioural/ Indirect Treatment Methods: The behavioural approach to treatment uses vocal hygiene as an indirect form of therapy, often supplemented by direct voice production training. This method relies heavily on education and guides children towards the use of vocally safe behaviours, such as hydration. It also explains the need to reduce traumatic behaviours including loud phonation, coughing, imitation of animal and machine noises, hard glottal stops and yelling across long distances. In therapy, children are taught to monitor their vocal behaviour for these signs and are sometimes trained to use an alternative gentle and quiet voice."
59,Direct Treatment Methods: Direct treatment methods are used to facilitate the use of normal voice behaviours in children with dysphonia.
60,"Vocal Function Exercises: designed to improve balance between respiration, phonation and resonance. Exercises include the establishment of correct posture and breathing, increasing the duration of sustained vowels to improve breath support, gliding from low to high pitch to strengthen the cricothyroid muscle and stretch vocal folds, gliding from high to low notes to target the thyroarytenoid musculature, and producing varied notes ( C-D-E-F-G) in order to strengthen laryngeal adduction."
61,Resonance Therapy: modified form of Resonance Voice Therapy (RVT) designed for children to help facilitate forward focus through exercises required nasal- oral productions.
62,"Semiocclusion of the Vocal Tract: methods that implement semiocclusion of the vocal tract are designed to increase efficient voicing thereby lessening the forceful vibrations of the vocal folds and minimizing mechanical trauma. This allows for the training of safe vocal behaviours, and provides opportunity for existing vocal trauma/lesions to heal sufficiently. Flow phonation therapy, straw phonation and lip buzzes are examples of these methods."
63,"Surgical Methods: surgical treatment for certain vocal pathologies is considered when other methods of management have failed and is rarely performed before puberty. If the vocal use is considered a causal factor, these behaviours must be managed before surgery is performed."
